"","o1","o2","o3","o4","o5","o6","o7","o8"
"CT-K1-1",1,1,0,0,0,0,0,0
"CT-K1-2",1,0,1,0,0,0,NA,NA
"CT-K1-4",0,0,0,0,0,0,NA,NA
"CT-K1-5",0,0,0,0,0,0,NA,NA
"CT-K1-6",0,0,0,0,0,0,NA,NA
"CT-K1-8",0,0,0,0,0,0,NA,NA
"CT-K1-11",0,0,0,0,0,0,NA,NA
"CT-K1-17",1,0,0,0,0,0,NA,NA
"CT-K1-18",0,0,0,0,0,0,NA,NA
"CT-K1-19",0,0,0,0,0,0,NA,NA
"CT-K1-20",0,0,0,0,0,0,NA,NA
"CT-K1-21",0,0,0,0,0,0,NA,NA
"CT-K1-22",0,0,0,0,0,0,NA,NA
"CT-K1-23",0,0,0,0,0,0,NA,NA
"CT-K1-30-92",0,0,0,0,0,0,0,NA
"CT-K1-31-124",0,0,0,0,0,0,NA,NA
"CT-K1-33-123",0,0,0,1,0,0,NA,NA
"CT-K1-33-108",0,0,0,0,0,0,NA,NA
"CT-K1-34-93",0,0,0,0,0,0,NA,NA
"CT-K1-35-107",0,0,0,0,0,0,NA,NA
"CT-K1-39-39",0,0,0,0,0,0,0,0
"CT-K1-41-24",0,0,0,0,0,0,NA,NA
"CT-K1-43-40",0,0,0,0,0,0,NA,NA
"CT-K1-45-23",1,0,0,0,1,0,NA,NA
"CT-K1-46",0,0,0,0,0,0,NA,NA
"CT-K1-44",1,0,0,0,0,0,NA,NA
"CT-K1-36",0,0,0,0,0,0,NA,NA
"CT-K1-37",0,0,0,0,0,0,NA,NA
"CT-K1-38-41",0,0,0,0,0,0,NA,NA
"CT-K1-40",0,0,0,0,0,0,NA,NA
"CT-K1-42",0,0,0,0,0,0,NA,NA
