"","o1","o2","o3","o4","o5","Deployment_id","Longitude","Latitude","e1","e2","e3","e4","NA"
"ECU-015-D0001",0,0,0,0,0,"ECU-015-D0001",NA,NA,9.5,10,10,10,3.5
"ECU-015-D0002",0,0,0,0,0,"ECU-015-D0002",NA,NA,9.5,10,10,10,4.5
"ECU-015-D0003",0,0,0,0,0,"ECU-015-D0003",NA,NA,9.5,10,10,10,9.5
"ECU-015-D0004",0,0,0,0,0,"ECU-015-D0004",NA,NA,9.5,10,10,10,4.5
"ECU-015-D0005",0,0,0,0,1,"ECU-015-D0005",NA,NA,9.5,10,10,10,5.5
"ECU-015-D0006",0,0,0,0,0,"ECU-015-D0006",NA,NA,9.5,10,10,10,4.5
"ECU-015-D0012",0,0,0,0,0,"ECU-015-D0012",NA,NA,9.5,10,10,10,1.5
"ECU-015-D0007",0,1,0,0,NA,"ECU-015-D0007",NA,NA,9.5,10,10,7.5,NA
"ECU-015-D0008",0,0,0,0,0,"ECU-015-D0008",NA,NA,9.5,10,10,10,4.5
"ECU-015-D0009",0,0,0,0,0,"ECU-015-D0009",NA,NA,9.5,10,10,10,5.5
"ECU-015-D0010",0,0,0,0,0,"ECU-015-D0010",NA,NA,9.5,10,10,10,4.5
"ECU-015-D0011",0,0,0,0,0,"ECU-015-D0011",NA,NA,9.5,10,10,10,5.5
"ECU-015-D0013",0,0,0,NA,NA,"ECU-015-D0013",NA,NA,9.5,10,5.5,NA,NA
"ECU-015-D0014",0,0,0,0,0,"ECU-015-D0014",NA,NA,9.5,10,10,10,7.5
"ECU-015-D0015",0,0,0,0,0,"ECU-015-D0015",NA,NA,9.5,10,10,10,4.5
"ECU-015-D0016",0,0,0,0,0,"ECU-015-D0016",NA,NA,9.5,10,10,10,7.5
"ECU-015-D0017",0,0,0,0,0,"ECU-015-D0017",NA,NA,9.5,10,10,10,5.5
"ECU-015-D0018",0,0,0,0,0,"ECU-015-D0018",NA,NA,9.5,10,10,10,1.5
"ECU-015-D0019",0,0,0,0,0,"ECU-015-D0019",NA,NA,9.5,10,10,10,0.5
"ECU-015-D0020",0,0,0,1,NA,"ECU-015-D0020",NA,NA,9.5,10,10,4.5,NA
"ECU-015-D0021",0,0,0,0,0,"ECU-015-D0021",NA,NA,9.5,10,10,10,0.5
"ECU-015-D0022",0,0,0,0,NA,"ECU-015-D0022",NA,NA,9.5,10,10,3.5,NA
"ECU-015-D0023",0,0,0,0,0,"ECU-015-D0023",NA,NA,9.5,10,10,10,0.5
"ECU-015-D0024",1,0,0,1,NA,"ECU-015-D0024",NA,NA,9.5,10,10,9.5,NA
"ECU-015-D0025",0,0,0,0,0,"ECU-015-D0025",NA,NA,9.5,10,10,10,7.5
"ECU-015-D0026",0,0,0,NA,NA,"ECU-015-D0026",NA,NA,9.5,10,2.5,NA,NA
"ECU-015-D0027",0,0,0,0,0,"ECU-015-D0027",NA,NA,9.5,10,10,10,6.5
"ECU-015-D0028",0,0,0,0,0,"ECU-015-D0028",NA,NA,9.5,10,10,10,6.5
"ECU-015-D0029",0,0,0,0,0,"ECU-015-D0029",NA,NA,9.5,10,10,10,6.5
"ECU-015-D0030",0,0,0,0,0,"ECU-015-D0030",NA,NA,9.5,10,10,10,6.5
